"vendorid","tpep_pickup_datetime","tpep_dropoff_datetime","passenger_count","trip_distance","ratecodeid","store_and_fwd_flag","pulocationid","dolocationid","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount","congestion_surcharge"
1,2020-01-02 07:39:13,2020-01-02 07:44:59,1,1.0,1,N,100,161,1,6.0,2.5,0.5,0.0,0.0,0.3,9.3,2.5
1,2020-01-02 07:55:51,2020-01-02 08:02:47,1,1.7,1,N,100,237,1,7.5,2.5,0.5,2.15,0.0,0.3,12.95,2.5
1,2020-01-02 07:56:58,2020-01-02 08:01:10,1,0.6,1,N,68,246,1,5.0,2.5,0.5,1.65,0.0,0.3,9.95,2.5
2,2020-01-02 07:49:41,2020-01-02 07:54:22,1,0.86,1,N,42,152,2,5.5,0.0,0.5,0.0,0.0,0.3,6.3,0.0
2,2020-01-02 07:49:04,2020-01-02 08:28:52,5,21.64,1,N,132,66,1,58.5,0.0,0.5,10.0,0.0,0.3,69.3,0.0
2,2020-01-02 07:13:48,2020-01-02 07:37:32,1,14.77,1,N,132,29,1,39.5,0.0,0.5,8.06,0.0,0.3,48.36,0.0
1,2020-01-02 07:52:12,2020-01-02 08:35:41,1,0.0,1,N,76,261,1,28.2,0.0,0.5,0.0,6.12,0.3,35.12,0.0
2,2020-01-02 07:31:49,2020-01-02 08:22:41,1,20.8,2,N,132,151,1,52.0,0.0,0.5,14.73,6.12,0.3,73.65,0.0
2,2020-01-02 07:52:47,2020-01-02 08:49:52,1,20.95,2,N,132,239,2,52.0,0.0,0.5,0.0,6.12,0.3,61.42,2.5
2,2020-01-02 07:20:05,2020-01-02 07:42:21,1,12.75,1,N,132,64,1,35.5,0.0,0.5,15.0,0.0,0.3,51.3,0.0
1,2020-01-02 07:51:23,2020-01-02 08:07:22,1,3.3,1,N,116,75,1,13.5,0.0,0.5,0.0,0.0,0.3,14.3,0.0
2,2020-01-02 07:58:07,2020-01-02 08:05:30,1,1.34,1,N,48,162,1,7.0,0.0,0.5,0.0,0.0,0.3,10.3,2.5
2,2020-01-02 07:51:00,2020-01-02 08:10:19,1,4.06,1,N,41,140,2,16.5,0.0,0.5,0.0,0.0,0.3,19.8,2.5
2,2020-01-02 07:05:13,2020-01-02 07:05:22,1,0.0,5,N,142,264,1,52.0,0.0,0.5,5.0,0.0,0.3,60.3,2.5
2,2020-01-02 07:11:04,2020-01-02 07:25:13,1,8.52,1,N,132,93,2,24.0,0.0,0.5,0.0,0.0,0.3,24.8,0.0
2,2020-01-02 07:40:11,2020-01-02 07:40:32,1,0.0,5,N,74,74,1,62.0,0.0,0.5,5.0,0.0,0.3,67.8,0.0
1,2020-01-02 07:02:51,2020-01-02 07:09:38,1,0.8,1,N,48,161,1,6.0,3.0,0.5,2.0,0.0,0.3,11.8,2.5
1,2020-01-02 07:39:13,2020-01-02 07:45:00,1,0.9,1,Y,100,161,2,6.0,2.5,0.5,0.0,0.0,0.3,9.3,2.5
1,2020-01-02 07:53:21,2020-01-02 07:57:59,1,1.2,1,N,100,50,2,6.0,2.5,0.5,0.0,0.0,0.3,9.3,2.5
1,2020-01-02 07:26:43,2020-01-02 07:42:17,1,4.5,1,N,74,230,1,15.5,2.5,0.5,3.75,0.0,0.3,22.55,2.5
1,2020-01-02 07:50:57,2020-01-02 07:56:00,1,1.3,1,N,68,230,1,6.0,2.5,0.5,2.0,0.0,0.3,11.3,2.5
2,2020-01-02 07:03:40,2020-01-02 07:08:57,1,1.05,1,N,48,161,1,5.5,0.0,0.5,1.76,0.0,0.3,10.56,2.5
2,2020-01-02 07:20:58,2020-01-02 07:24:53,1,0.66,1,N,100,161,2,4.5,0.0,0.5,0.0,0.0,0.3,7.8,2.5
2,2020-01-02 07:43:27,2020-01-02 07:53:40,1,2.5,1,N,100,236,1,10.5,0.0,0.5,2.0,0.0,0.3,15.8,2.5
2,2020-01-02 07:04:45,2020-01-02 07:16:41,1,3.98,1,N,75,100,1,13.0,0.0,0.5,4.89,0.0,0.3,21.19,2.5
2,2020-01-02 07:50:25,2020-01-02 07:59:17,1,1.63,1,N,141,161,1,8.0,0.0,0.5,1.7,0.0,0.3,13.0,2.5
2,2020-01-02 07:41:25,2020-01-02 07:47:55,1,1.17,1,N,90,68,1,6.5,0.0,0.5,0.49,0.0,0.3,10.29,2.5
1,2020-01-02 07:27:53,2020-01-02 07:38:13,1,3.6,1,N,68,238,1,12.0,2.5,0.5,2.5,0.0,0.3,17.8,2.5
2,2020-01-02 07:28:59,2020-01-02 07:31:32,6,0.75,1,N,41,43,1,4.5,0.0,0.5,0.0,0.0,0.3,5.3,0.0
2,2020-01-02 07:58:15,2020-01-02 08:03:57,6,1.48,1,N,75,74,2,6.5,0.0,0.5,0.0,0.0,0.3,7.3,0.0
1,2020-01-02 07:01:51,2020-01-02 07:03:52,1,0.5,1,N,48,230,2,4.0,2.5,0.5,0.0,0.0,0.3,7.3,2.5
1,2020-01-02 07:36:06,2020-01-02 08:09:13,1,8.8,1,N,143,138,1,31.0,2.5,0.5,8.55,0.0,0.3,42.85,2.5
1,2020-01-02 07:59:03,2020-01-02 08:06:18,1,2.1,1,N,107,163,1,8.0,2.5,0.5,2.0,0.0,0.3,13.3,2.5
1,2020-01-02 07:18:58,2020-01-02 07:26:03,1,1.8,1,N,143,100,1,8.0,2.5,0.5,1.0,0.0,0.3,12.3,2.5
1,2020-01-02 07:38:49,2020-01-02 08:24:35,1,16.1,1,N,132,255,1,46.5,0.0,0.5,8.0,0.0,0.3,55.3,0.0
2,2020-01-02 07:58:23,2020-01-02 08:01:57,1,0.81,1,N,48,230,1,5.0,0.0,0.5,1.66,0.0,0.3,9.96,2.5
1,2020-01-02 07:58:45,2020-01-02 08:05:55,1,1.5,1,N,137,230,1,7.5,2.5,0.5,2.15,0.0,0.3,12.95,2.5
2,2020-01-02 07:47:21,2020-01-02 07:51:08,2,1.13,1,N,100,161,1,5.5,0.0,0.5,0.44,0.0,0.3,9.24,2.5
2,2020-01-02 07:52:27,2020-01-02 07:59:15,1,1.85,1,N,68,163,2,7.5,0.0,0.5,0.0,0.0,0.3,10.8,2.5
2,2020-01-02 07:31:44,2020-01-02 08:05:58,1,26.5,4,N,132,265,1,115.5,0.0,0.5,23.26,0.0,0.3,139.56,0.0
2,2020-01-02 07:33:44,2020-01-02 07:39:29,2,1.13,1,N,68,68,1,6.0,0.0,0.5,0.0,0.0,0.3,9.3,2.5
2,2020-01-02 07:00:29,2020-01-02 07:11:25,5,6.09,1,N,132,28,2,18.0,0.0,0.5,0.0,0.0,0.3,18.8,0.0
2,2020-01-02 07:12:17,2020-01-02 07:38:39,1,11.88,1,N,132,129,2,33.0,0.0,0.5,0.0,0.0,0.3,33.8,0.0
2,2020-01-02 07:33:48,2020-01-02 07:45:01,1,2.91,1,N,140,48,1,11.0,0.0,0.5,2.86,0.0,0.3,17.16,2.5
1,2020-01-02 07:48:01,2020-01-02 08:13:22,2,8.2,1,N,132,121,2,26.0,0.0,0.5,0.0,0.0,0.3,26.8,0.0
2,2020-01-02 07:19:31,2020-01-02 07:23:54,1,1.05,1,N,48,50,2,5.5,0.0,0.5,0.0,0.0,0.3,8.8,2.5
2,2020-01-02 06:59:40,2020-01-02 07:03:05,1,1.0,1,N,43,238,2,5.5,0.0,0.5,0.0,0.0,0.3,6.3,0.0
2,2020-01-02 07:40:11,2020-01-02 08:15:00,2,14.84,1,N,132,16,2,42.5,0.0,0.5,0.0,0.0,0.3,43.3,0.0
2,2020-01-02 07:25:15,2020-01-02 08:00:49,1,10.86,1,N,132,56,2,34.5,0.0,0.5,0.0,0.0,0.3,35.3,0.0
2,2020-01-02 07:47:54,2020-01-02 07:55:11,1,1.87,1,N,68,163,1,7.5,0.0,0.5,2.7,0.0,0.3,13.5,2.5
1,2020-01-02 07:56:27,2020-01-02 08:03:52,2,1.3,1,N,142,237,1,7.0,2.5,0.5,1.5,0.0,0.3,11.8,2.5
2,2020-01-02 07:04:20,2020-01-02 07:20:53,1,8.05,1,N,95,137,1,24.5,0.0,0.5,6.78,6.12,0.3,40.7,2.5
2,2020-01-02 07:45:13,2020-01-02 07:56:35,2,2.03,1,N,68,50,2,10.5,0.0,0.5,0.0,0.0,0.3,13.8,2.5
2,2020-01-02 07:58:49,2020-01-02 08:02:54,2,0.92,1,N,143,48,1,5.5,0.0,0.5,1.02,0.0,0.3,9.82,2.5
2,2020-01-02 07:17:03,2020-01-02 07:20:31,1,0.57,1,N,100,48,1,4.5,0.0,0.5,1.56,0.0,0.3,9.36,2.5
2,2020-01-02 07:24:39,2020-01-02 07:27:02,1,0.56,1,N,48,68,1,4.0,0.0,0.5,1.0,0.0,0.3,8.3,2.5
2,2020-01-02 07:35:46,2020-01-02 07:39:22,1,0.84,1,N,68,246,1,5.0,0.0,0.5,2.49,0.0,0.3,10.79,2.5
2,2020-01-02 07:53:46,2020-01-02 08:01:00,1,1.29,1,N,68,170,1,7.0,0.0,0.5,2.06,0.0,0.3,12.36,2.5
2,2020-01-02 07:30:32,2020-01-02 08:23:00,2,19.39,2,N,132,68,1,52.0,0.0,0.5,12.28,6.12,0.3,73.7,2.5
2,2020-01-02 07:17:04,2020-01-02 07:28:31,1,2.64,1,N,107,246,1,10.5,0.0,0.5,3.45,0.0,0.3,17.25,2.5
2,2020-01-02 07:33:51,2020-01-02 07:44:30,1,2.85,1,N,50,140,1,11.0,0.0,0.5,2.86,0.0,0.3,17.16,2.5
2,2020-01-02 07:16:09,2020-01-02 07:46:03,1,17.99,3,N,142,1,1,66.0,0.0,0.0,16.66,17.0,0.3,99.96,0.0
2,2020-01-02 07:03:14,2020-01-02 07:08:28,1,0.75,1,N,141,140,2,5.5,0.0,0.5,0.0,0.0,0.3,8.8,2.5
1,2020-01-02 07:41:09,2020-01-02 07:45:16,1,1.2,1,N,142,236,2,6.0,2.5,0.5,0.0,0.0,0.3,9.3,2.5
2,2020-01-02 07:13:59,2020-01-02 07:32:30,1,9.47,1,N,107,138,1,26.5,0.0,0.5,7.18,6.12,0.3,43.1,2.5
2,2020-01-02 07:37:09,2020-01-02 07:50:18,1,3.68,1,N,138,146,2,13.5,0.0,0.5,0.0,0.0,0.3,14.3,0.0
1,2020-01-02 07:28:21,2020-01-02 07:47:56,1,6.8,1,N,137,42,2,22.5,2.5,0.5,0.0,0.0,0.3,25.8,2.5
1,2020-01-02 07:56:38,2020-01-02 08:00:19,1,0.5,1,N,41,166,1,4.5,0.0,0.5,1.05,0.0,0.3,6.35,0.0
2,2020-01-02 07:15:36,2020-01-02 07:38:46,1,12.04,1,N,132,138,1,34.0,0.0,0.5,6.96,0.0,0.3,41.76,0.0
2,2020-01-02 07:20:50,2020-01-02 08:11:20,1,17.49,2,N,132,170,1,52.0,0.0,0.5,12.28,6.12,0.3,73.7,2.5
2,2020-01-02 07:41:04,2020-01-02 07:44:03,1,0.76,1,N,100,48,1,4.5,0.0,0.5,1.56,0.0,0.3,9.36,2.5
2,2020-01-02 07:53:02,2020-01-02 07:57:14,1,0.82,1,N,48,230,1,5.0,0.0,0.5,0.83,0.0,0.3,9.13,2.5
1,2020-01-02 07:38:13,2020-01-02 08:09:23,1,0.0,1,N,42,226,1,26.2,0.0,0.5,0.0,6.12,0.3,33.12,0.0
2,2020-01-02 07:42:29,2020-01-02 07:46:41,1,1.05,1,N,140,236,1,5.5,0.0,0.5,1.76,0.0,0.3,10.56,2.5
2,2020-01-02 07:45:23,2020-01-02 07:51:43,4,1.03,1,N,41,74,2,6.5,0.0,0.5,0.0,0.0,0.3,7.3,0.0
2,2020-01-02 07:20:23,2020-01-02 07:59:07,5,18.6,2,N,132,41,1,52.0,0.0,0.5,3.0,6.12,0.3,61.92,0.0
1,2020-01-02 07:34:33,2020-01-02 07:39:54,1,0.9,1,N,68,246,1,5.5,2.5,0.5,1.06,0.0,0.3,9.86,2.5
1,2020-01-02 07:45:32,2020-01-02 07:59:07,1,2.5,1,N,100,79,2,11.0,2.5,0.5,0.0,0.0,0.3,14.3,2.5
2,2020-01-02 07:43:52,2020-01-02 08:03:54,1,7.02,1,N,132,197,1,22.5,0.0,0.5,5.0,0.0,0.3,28.3,0.0
2,2020-01-02 07:41:51,2020-01-02 07:50:07,1,1.56,1,N,48,162,1,8.0,0.0,0.5,3.39,0.0,0.3,14.69,2.5
2,2020-01-02 07:56:17,2020-01-02 07:58:27,1,0.54,1,N,113,113,1,4.0,0.0,0.5,2.19,0.0,0.3,9.49,2.5
2,2020-01-02 07:48:01,2020-01-02 07:56:41,1,1.93,1,N,75,140,1,8.5,0.0,0.5,1.18,0.0,0.3,12.98,2.5
2,2020-01-02 07:47:18,2020-01-02 07:51:31,1,1.05,1,N,50,163,1,5.5,0.0,0.5,1.32,0.0,0.3,10.12,2.5
2,2020-01-02 07:32:44,2020-01-02 07:44:33,2,2.73,1,N,100,238,1,11.0,0.0,0.5,2.86,0.0,0.3,17.16,2.5
2,2020-01-02 07:42:15,2020-01-02 08:01:26,4,8.6,1,N,132,93,2,24.5,0.0,0.5,0.0,0.0,0.3,25.3,0.0
2,2020-01-02 07:54:13,2020-01-02 08:00:03,1,1.5,1,N,68,161,1,7.0,0.0,0.5,1.1,0.0,0.3,11.4,2.5
2,2020-01-02 07:16:26,2020-01-02 07:43:39,1,9.81,1,N,132,198,1,30.5,0.0,0.5,7.83,0.0,0.3,39.13,0.0
2,2020-01-02 07:36:44,2020-01-02 08:31:44,4,28.92,1,N,86,201,1,79.0,0.0,0.5,0.0,2.29,0.3,82.09,0.0
2,2020-01-02 07:46:27,2020-01-02 07:55:01,1,1.78,1,N,142,238,2,8.5,0.0,0.5,0.0,0.0,0.3,11.8,2.5
2,2020-01-02 07:50:56,2020-01-02 08:26:01,1,14.61,1,N,138,87,1,45.0,0.0,0.5,10.88,6.12,0.3,65.3,2.5
2,2020-01-02 07:45:18,2020-01-02 07:45:30,1,0.06,5,N,1,1,1,90.0,0.0,0.0,5.0,0.0,0.3,95.3,0.0
1,2020-01-02 07:26:30,2020-01-02 07:41:58,1,4.0,1,N,41,233,1,14.5,2.5,0.5,7.0,0.0,0.3,24.8,2.5
1,2020-01-02 07:57:38,2020-01-02 08:08:08,1,1.1,1,N,100,161,1,8.5,2.5,0.5,1.0,0.0,0.3,12.8,2.5
1,2020-01-02 07:09:08,2020-01-02 07:14:55,1,1.3,1,N,100,162,2,6.5,2.5,0.5,0.0,0.0,0.3,9.8,2.5
2,2020-01-02 07:06:45,2020-01-02 07:11:31,1,0.82,1,N,68,246,1,5.5,0.0,0.5,0.0,0.0,0.3,8.8,2.5
2,2020-01-02 07:31:24,2020-01-02 07:40:39,1,1.36,1,N,100,234,2,8.0,0.0,0.5,0.0,0.0,0.3,11.3,2.5
2,2020-01-02 07:51:05,2020-01-02 07:56:09,1,0.95,1,N,100,161,1,5.5,0.0,0.5,1.32,0.0,0.3,10.12,2.5
1,2020-01-02 07:05:58,2020-01-02 07:12:25,1,1.1,1,N,100,161,1,6.5,2.5,0.5,2.0,0.0,0.3,11.8,2.5
1,2020-01-02 07:55:58,2020-01-02 08:01:07,1,0.7,1,N,100,161,1,5.5,2.5,0.5,1.2,0.0,0.3,10.0,2.5
2,2020-01-02 07:44:45,2020-01-02 07:47:01,1,0.73,1,N,100,161,1,4.0,0.0,0.5,1.0,0.0,0.3,8.3,2.5
2,2020-01-02 07:03:01,2020-01-02 07:05:18,1,0.61,1,N,114,79,1,4.0,0.0,0.5,1.1,0.0,0.3,8.4,2.5
2,2020-01-02 07:11:14,2020-01-02 07:28:21,1,9.13,1,N,107,138,1,26.0,0.0,0.5,7.08,6.12,0.3,42.5,2.5
1,2020-01-02 07:18:25,2020-01-02 07:24:14,0,1.6,1,N,137,113,1,7.0,2.5,0.5,2.06,0.0,0.3,12.36,2.5
1,2020-01-02 07:05:26,2020-01-02 07:36:19,1,17.5,3,N,142,1,1,65.0,0.5,0.0,15.66,12.5,0.3,93.96,0.0
1,2020-01-02 07:10:02,2020-01-02 07:17:00,1,1.1,1,N,75,74,1,6.5,0.0,0.5,0.0,0.0,0.3,7.3,0.0
2,2020-01-02 07:44:18,2020-01-02 07:58:19,1,2.95,1,N,143,234,1,12.0,0.0,0.5,2.0,0.0,0.3,17.3,2.5
2,2020-01-02 07:21:15,2020-01-02 07:27:51,1,1.46,1,N,143,237,1,7.5,0.0,0.5,2.7,0.0,0.3,13.5,2.5
1,2020-01-02 07:43:37,2020-01-02 07:47:51,0,0.9,1,N,100,230,1,5.0,2.5,0.5,1.25,0.0,0.3,9.55,2.5
1,2020-01-02 07:57:23,2020-01-02 08:01:04,1,0.8,1,N,48,68,3,4.5,2.5,0.5,0.0,0.0,0.3,7.8,2.5
2,2020-01-02 07:56:34,2020-01-02 08:00:30,1,1.51,1,N,79,162,1,6.0,0.0,0.5,1.0,0.0,0.3,10.3,2.5
2,2020-01-02 07:17:44,2020-01-02 07:25:29,1,1.79,1,N,100,237,1,8.0,0.0,0.5,2.0,0.0,0.3,13.3,2.5
2,2020-01-02 07:55:30,2020-01-02 08:16:10,1,5.64,1,N,143,87,1,20.0,0.0,0.5,3.0,0.0,0.3,26.3,2.5
1,2020-01-02 07:50:45,2020-01-02 07:54:47,1,0.5,1,N,75,75,1,4.5,0.0,0.5,1.05,0.0,0.3,6.35,0.0
2,2020-01-02 07:07:35,2020-01-02 07:39:05,1,17.91,2,N,132,148,1,52.0,0.0,0.5,11.06,0.0,0.3,66.36,2.5
2,2020-01-02 07:40:44,2020-01-02 07:47:12,1,1.62,1,N,148,137,1,7.5,0.0,0.5,0.0,0.0,0.3,10.8,2.5
1,2020-01-02 07:45:22,2020-01-02 07:53:19,1,2.5,1,N,100,231,1,9.0,2.5,0.5,1.5,0.0,0.3,13.8,2.5
1,2020-01-02 07:57:43,2020-01-02 08:05:44,1,2.3,1,N,125,234,1,9.0,2.5,0.5,2.45,0.0,0.3,14.75,2.5
2,2020-01-02 07:29:58,2020-01-02 07:38:03,2,3.35,1,N,132,218,2,11.0,0.0,0.5,0.0,0.0,0.3,11.8,0.0
1,2020-01-02 07:47:13,2020-01-02 07:55:21,1,1.8,1,Y,143,68,2,8.5,2.5,0.5,0.0,0.0,0.3,11.8,2.5
1,2020-01-02 07:21:39,2020-01-02 07:33:26,1,2.5,1,N,48,140,2,11.0,2.5,0.5,0.0,0.0,0.3,14.3,2.5
1,2020-01-02 07:52:12,2020-01-02 08:03:39,1,3.1,1,N,52,45,1,11.5,2.5,0.5,2.95,0.0,0.3,17.75,2.5
1,2020-01-02 07:22:52,2020-01-02 07:31:03,1,2.2,1,N,90,13,1,9.0,2.5,0.5,2.46,0.0,0.3,14.76,2.5
1,2020-01-02 07:34:25,2020-01-02 07:39:30,1,0.6,1,N,13,231,1,5.0,2.5,0.5,1.0,0.0,0.3,9.3,2.5
2,2020-01-02 07:56:21,2020-01-02 08:44:32,1,18.07,2,N,132,79,1,52.0,0.0,0.5,12.28,6.12,0.3,73.7,2.5
2,2020-01-02 07:49:59,2020-01-02 07:56:44,1,3.63,1,N,137,45,1,12.0,0.0,0.5,4.0,0.0,0.3,19.3,2.5
2,2020-01-02 07:33:35,2020-01-02 07:41:57,1,1.72,1,N,50,239,1,8.5,0.0,0.5,2.95,0.0,0.3,14.75,2.5
1,2020-01-02 07:00:51,2020-01-02 07:02:58,1,0.5,1,N,48,230,2,3.5,2.5,0.5,0.0,0.0,0.3,6.8,2.5
1,2020-01-02 07:11:06,2020-01-02 07:17:39,0,1.2,1,N,100,161,2,6.5,2.5,0.5,0.0,0.0,0.3,9.8,2.5
2,2020-01-02 07:23:48,2020-01-02 07:33:43,1,1.77,1,N,144,79,1,9.0,0.0,0.5,2.46,0.0,0.3,14.76,2.5
2,2020-01-02 07:36:57,2020-01-02 07:49:02,1,2.55,1,N,107,230,1,10.0,0.0,0.5,2.0,0.0,0.3,15.3,2.5
1,2020-01-02 07:27:36,2020-01-02 08:05:42,1,22.2,1,Y,132,14,1,59.0,0.0,0.5,14.9,0.0,0.3,74.7,0.0
2,2020-01-02 06:59:36,2020-01-02 07:10:41,1,2.59,1,N,100,140,1,10.5,0.0,0.5,2.76,0.0,0.3,16.56,2.5
2,2020-01-02 07:29:30,2020-01-02 07:37:14,1,1.26,1,N,48,161,2,7.0,0.0,0.5,0.0,0.0,0.3,10.3,2.5
2,2020-01-02 07:10:52,2020-01-02 07:27:32,5,4.71,1,N,113,181,2,17.0,0.0,0.5,0.0,0.0,0.3,20.3,2.5
2,2020-01-02 07:32:45,2020-01-02 07:46:08,5,3.78,1,N,97,107,2,13.5,0.0,0.5,0.0,0.0,0.3,16.8,2.5
1,2020-01-02 07:02:54,2020-01-02 07:05:28,1,0.8,1,N,48,230,2,4.5,3.0,0.5,0.0,0.0,0.3,8.3,2.5
1,2020-01-02 07:17:17,2020-01-02 07:24:46,1,1.1,1,N,48,161,2,6.5,2.5,0.5,0.0,0.0,0.3,9.8,2.5
1,2020-01-02 07:33:19,2020-01-02 07:37:23,1,0.5,1,N,100,230,1,4.5,2.5,0.5,0.0,0.0,0.3,7.8,2.5
1,2020-01-02 07:43:47,2020-01-02 07:49:41,1,0.6,1,N,100,230,2,5.5,2.5,0.5,0.0,0.0,0.3,8.8,2.5
1,2020-01-02 07:57:12,2020-01-02 08:02:11,1,0.9,1,N,100,163,1,5.5,2.5,0.5,1.76,0.0,0.3,10.56,2.5
2,2020-01-02 07:54:34,2020-01-02 08:06:49,1,2.74,1,N,114,230,1,11.0,0.0,0.5,1.5,0.0,0.3,15.8,2.5
2,2020-01-02 07:00:35,2020-01-02 07:10:45,3,2.82,1,N,148,80,2,11.0,0.5,0.5,0.0,0.0,0.3,14.8,2.5
2,2020-01-02 07:13:46,2020-01-02 07:56:59,2,17.56,2,N,132,48,1,52.0,0.0,0.5,12.28,6.12,0.3,73.7,2.5
2,2020-01-02 07:07:20,2020-01-02 07:14:26,5,2.25,1,N,146,140,1,9.0,0.0,0.5,2.0,0.0,0.3,14.3,2.5
2,2020-01-02 07:55:59,2020-01-02 08:02:08,5,1.06,1,N,107,113,1,6.0,0.0,0.5,1.4,0.0,0.3,10.7,2.5
1,2020-01-02 07:11:58,2020-01-02 07:14:16,3,0.2,2,N,13,261,4,52.0,2.5,0.5,0.0,0.0,0.3,55.3,2.5
